region,plz
9179134,82216
9183126,83558
9275132,94094
9277131,84333
9278148,84066
9179136,82291
9279125,94437
9186137,85077
9374134,92708
9679161,97276
9278149,94553
9279126,84163
9575143,91613
9577149,91801
9575144,91477
9675147,97340
9675148,97348
9575145,91459
9478143,96257
9677157,97828
9174131,85229
9171123,84533
9477138,95352
9479135,95168
9575146,91478
9777151,87616
9779177,86748
9479136,95615
9778168,87733
9476183,96364
9172124,83487
9477139,95509
9175127,85570
9675149,97342
9575147,91480
9778169,86865
9478144,96275
9572141,91080
9674171,96126
9189129,83250
9675150,97340
9779178,86688
9178140,85417
9672131,97711
9277133,84323
9178142,85419
9777152,87665
9272134,94151
9376141,93142
9773153,89441
9473144,96484
9779180,86750
9472164,95694
9171124,84561
9577150,91802
9772177,86405
9673142,97638
9471159,96117
9764000,87700
9778171,87766
9279127,84152
9771145,86504
9771146,86415
9571177,91732
9779181,86690
9671141,63875
9271132,94526
9183127,84562
9478145,96247
9678157,97513
9372142,93185
9772178,86866
9182125,83714
9372143,93468
9676139,63897
9778173,87719
9176147,93349
9375170,93098
9780127,87547
9472166,95511
9472167,95490
9571178,91734
9772179,86868
9677159,97785
9179137,82293
9180123,82481
9278151,94360
9277134,84335
9377141,95666
9476154,96268
9773147,89426
9572142,91096
9671143,63776
9676140,63853
9676141,63933
9779184,86751
9571179,91614
9779186,86653
9179138,82272
9271135,94554
9175128,85665
9374137,92709
9178143,85368
9177130,85452
9279128,84164
9176148,91804
9672134,97786
9779185,86753
9375171,93099
9183128,84453
9572143,96172
9373146,92360
9577114,91735
9475154,95213
9162000,80331
9162000,80333
9162000,80335
9162000,80336
9162000,80337
9162000,80339
9162000,80469
9162000,80538
9162000,80539
9162000,80634
9162000,80636
9162000,80637
9162000,80638
9162000,80639
9162000,80686
9162000,80687
9162000,80689
9162000,80796
9162000,80797
9162000,80798
9162000,80799
9162000,80801
9162000,80802
9162000,80803
9162000,80804
9162000,80805
9162000,80807
9162000,80809
9162000,80933
9162000,80935
9162000,80937
9162000,80939
9162000,80992
9162000,80993
9162000,80995
9162000,80997
9162000,80999
9162000,81241
9162000,81243
9162000,81245
9162000,81247
9162000,81248
9162000,81249
9162000,81369
9162000,81371
9162000,81373
9162000,81375
9162000,81377
9162000,81379
9162000,81475
9162000,81476
9162000,81477
9162000,81479
9162000,81539
9162000,81541
9162000,81543
9162000,81545
9162000,81547
9162000,81549
9162000,81667
9162000,81669
9162000,81671
9162000,81673
9162000,81675
9162000,81677
9162000,81679
9162000,81735
9162000,81737
9162000,81739
9162000,81825
9162000,81827
9162000,81829
9162000,81925
9162000,81927
9162000,81929
9162000,85540
9186139,85126
9575150,91481
9672135,97702
9779188,86754
9173137,82541
9779187,86692
9774160,86505
9180124,82418
9376144,92507
9479138,95697
9475156,95119
9178144,85395
9178144,85405
9176149,85128
9577151,91790
9775134,89278
9777153,87484
9187154,83115
9184146,85579
9679164,97277
9275133,94036
9275133,94127
9185149,86633
9774162,86476
9177131,85467
9477142,95512
9571180,91564
9677164,97788
9477143,95339
9178145,85375
9178145,85376
9274153,84088
9274154,84181
9574140,91284
9275134,94152
9575152,90616
9677165,97843
9278154,94362
9376146,92445
9372144,93453
9371141,92259
9275135,94154
9373147,92318
9373147,92348
9183129,84494
9376147,92431
9676143,63930
9474154,91077
9574141,91233
9171125,84524
9272136,94089
9184132,82061
9184132,82131
9772184,86356
9272146,94556
9571181,91616
9377143,95700
9677166,97845
9374140,95514
9575153,91413
9273152,93333
9374139,92660
9473151,96465
9375174,93073
9775135,89231
9775135,89233
9274156,84100
9271138,94557
9183130,84494
9473153,96489
9673146,97618
9376148,92545
9676144,63843
9778177,87767
9779192,86694
9183131,84494
9279130,84183
9678160,97464
9278159,94559
9376149,93149
9375175,93152
9776120,88149
9772185,86695
9476159,96365
9675155,97334
9673147,97647
9779194,86720
9672136,97720
9564000,90402
9564000,90403
9564000,90408
9564000,90409
9564000,90411
9564000,90419
9564000,90425
9564000,90427
9564000,90429
9564000,90431
9564000,90439
9564000,90441
9564000,90443
9564000,90449
9564000,90451
9564000,90453
9564000,90455
9564000,90459
9564000,90461
9564000,90469
9564000,90471
9564000,90473
9564000,90475
9564000,90478
9564000,90480
9564000,90482
9564000,90489
9564000,90491
9189130,83365
9187156,83131
9180125,82487
9573122,90522
9180126,82496
9187157,83080
9674159,97514
9183132,84564
9571183,91617
9177133,85445
9176150,85129
9673149,97656
9771149,86573
9777154,87634
9184134,82041
9184134,82064
9471165,96173
9190135,82386
9185150,86697
9575155,97258
9475158,95145
9672138,97789
9780131,87538
9181131,86836
9573123,90587
9675156,97342
9676145,63785
9779196,86698
9183134,84565
9275137,94107
9275137,94130
9575156,91619
9777155,86869
9772186,86507
9175131,85667
9679169,97241
9271139,94562
9572147,91097
9776121,88179
9778183,87769
9775141,89294
9575157,91483
9184135,85764
9278167,94363
9778184,87770
9678164,97516
9179140,82294
9677169,97791
9190136,82395
9780132,87534
9780133,87561
9673151,97640
9274165,84101
9183135,84419
9672139,97723
9375179,93083
9474156,91286
9376151,92526
9189133,83119
9679170,97199
9174135,85235
9672140,97714
9779197,86732
9271140,94560
9574145,91238
9774171,89362
9780134,87527
9180127,82441
9571188,91620
9179142,82140
9776122,88145
9571189,91737
9275138,94496
9775142,89296
9271141,94486
9777157,87662
9673153,97645
9177134,85570
9574146,91242
9182127,83624
9779198,86700
9778186,87724
9184136,85521
9271143,94563
9780128,87466
9190138,82396
9273159,93351
9189134,83349
9577158,91788
9374144,92711
9278170,94365
9373151,92331
9677170,97846
9262000,94032
9262000,94034
9262000,94036
9177135,85669
9276134,94265
9178150,85307
9377145,95701
9472175,91257
9190139,82380
9190140,86971
9372146,93482
9375180,93080
9190141,82377
9181132,86929
9171126,84567
9278171,94366
9278172,94368
9272138,94157
9571190,91580
9771155,86574
9174136,85238
9375181,93186
9189135,83367
9471169,96175
9778187,87772
9174137,85235
9186143,85276
9775143,89284
9187159,83539
9375182,93101
9277138,84347
9674184,96176
9375183,93102
9274172,84076
9577159,91738
9176153,85104
9777158,87666
9376153,92536
9777159,87459
9272139,94158
9172128,83451
9375184,93188
9373153,92367
9279132,94431
9474158,91361
9374146,92712
9189137,83132
9184138,82152
9472176,95515
9271146,94447
9472177,91287
9577161,91785
9171127,84568
9778188,87773
9374147,92714
9175133,85652
9377146,95703
9275141,94060
9188137,82343
9175135,85586
9176155,85131
9190142,82398
9183136,84570
9577162,91805
9574147,91224
9471172,96178
9678168,97490
9371144,92284
9186144,85309
9372147,93483
9274174,84103
9373155,92353
9277139,84389
9472179,91278
9771156,86554
9474160,91099
9276135,94267
9472180,95473
9190143,86984
9374149,92690
9477148,95355
9476164,96332
9474161,91362
